Name,N_sample,Dim,Size (GB),id,mpts_Iter-0,Time_Iter-0_coresg,Time_Iter-0_hdbscan,ARI_Iter-0,HAI_Iter-0,mpts_Iter-1,Time_Iter-1_coresg,Time_Iter-1_hdbscan,ARI_Iter-1,HAI_Iter-1,mpts_Iter-2,Time_Iter-2_coresg,Time_Iter-2_hdbscan,ARI_Iter-2,HAI_Iter-2,mpts_Iter-3,Time_Iter-3_coresg,Time_Iter-3_hdbscan,ARI_Iter-3,HAI_Iter-3
air,9357.0,13.0,0.000973128,1.0,50.0,13.474722385406494,3.797114133834839,1.0,0.9857569082720432,32.0,3.680968999862671,3.844114065170288,1.0,0.9927405477891748,20.0,3.7380120754241934,3.7482969760894775,0.9960353516327518,0.9940319961044234,10.0,4.034212827682495,3.7568130493164062,0.9996990030513976,0.9921295783873832
air,9357.0,13.0,0.000973128,2.0,50.0,13.47936463356018,3.774149656295776,1.0,0.9857584586695334,32.0,3.680264949798584,3.7830324172973633,1.0,0.9927405566510676,20.0,3.730234384536743,3.7640202045440674,0.9960353516327518,0.9940322185356992,10.0,3.770816802978516,3.734310388565064,0.9996990030513976,0.992130082045862
air,9357.0,13.0,0.000973128,3.0,50.0,14.195805549621582,3.942995548248291,1.0,0.985758138576766,32.0,3.6587414741516113,3.92870044708252,1.0,0.9927401329204764,20.0,3.60871958732605,3.8016669750213614,0.9960353516327518,0.9940301289928734,10.0,3.933070182800293,3.767274856567383,0.9996990030513976,0.9921300017174972
air,9357.0,13.0,0.000973128,4.0,50.0,13.591437339782717,3.725399971008301,1.0,0.9857592394637746,32.0,3.5690019130706787,3.883442640304565,1.0,0.9927236316276652,20.0,3.621265172958374,3.6729133129119873,0.9995303559272282,0.99403170595179,10.0,3.90813422203064,3.7008328437805176,0.9996990030513976,0.9921293792755056
air,9357.0,13.0,0.000973128,5.0,50.0,13.64805507659912,3.648162364959717,1.0,0.9857576933677668,32.0,3.5643560886383057,3.761014938354492,1.0,0.9927406145585104,20.0,3.661606311798096,3.75463342666626,0.9960353516327518,0.9940299299395844,10.0,3.961540699005127,3.8500375747680655,0.9996990030513976,0.9921283440544988
air,9357.0,13.0,0.000973128,6.0,50.0,13.46763300895691,3.880089044570923,1.0,0.985758393975137,32.0,3.558560848236084,3.6521928310394287,1.0,0.9927252155881108,20.0,3.6202220916748047,3.68812894821167,0.9995303559272282,0.994029841491546,10.0,3.936332225799561,3.5916390419006348,0.9996990030513976,0.9921301082165866
air,9357.0,13.0,0.000973128,7.0,50.0,14.116341829299929,3.93787145614624,1.0,0.9857579999258133,32.0,3.608248472213745,3.588801383972168,1.0,0.992740358876924,20.0,3.743062019348145,3.906103610992432,0.9995303559272282,0.9940321197755196,10.0,4.045700550079346,3.609943389892578,0.9996990030513976,0.9921303078070532
air,9357.0,13.0,0.000973128,8.0,50.0,13.515957593917848,3.6842427253723145,1.0,0.9857579188699968,32.0,3.575397253036499,3.6571085453033447,1.0,0.9927401395266248,20.0,3.6279377937316895,3.584754705429077,0.9960353516327518,0.9940296831882276,10.0,3.877989053726196,3.416231155395508,0.9996990030513976,0.9921287995754856
air,9357.0,13.0,0.000973128,9.0,50.0,14.079899311065674,3.827661275863648,1.0,0.9857621292232114,32.0,3.909745454788208,3.730349540710449,1.0,0.9927255387226438,20.0,3.781872034072876,3.5674755573272705,0.9995303559272282,0.9940300486938536,10.0,4.251220703125,3.604130268096924,0.9996990030513976,0.9921301829007788
air,9357.0,13.0,0.000973128,10.0,50.0,13.42743754386902,3.907548189163208,1.0,0.9857571398483168,32.0,3.709362983703613,3.771520376205444,1.0,0.9927403717327716,20.0,3.759286642074585,3.884644031524658,0.9995303559272282,0.9940319376696864,10.0,3.7940785884857178,3.929868221282959,0.9996990030513976,0.9921294380178954
wine-quality,6497.0,11.0,0.000571736,1.0,50.0,9.510648250579834,1.6893975734710691,0.9811117811080224,0.9950571598663231,32.0,2.289461612701416,1.751422882080078,0.94717614080192,0.9922941137073288,20.0,2.389674425125122,1.7114286422729492,0.4000423638138309,0.9878124922304736,10.0,3.1184451580047607,2.068673849105835,0.71041341463869,0.977720950477381
wine-quality,6497.0,11.0,0.000571736,2.0,50.0,9.532884120941162,1.930178165435791,0.9811117811080224,0.9950571952215432,32.0,2.3690850734710693,1.875577449798584,0.94717614080192,0.9922931752906864,20.0,2.685197353363037,1.9450151920318604,0.4000423638138309,0.987803930948975,10.0,2.7599895000457764,1.9753410816192627,0.71041341463869,0.9777184914490143
wine-quality,6497.0,11.0,0.000571736,3.0,50.0,9.12594485282898,1.948652029037476,0.9811117811080224,0.9950756825645392,32.0,1.9932959079742432,1.862067937850952,0.94717614080192,0.992288048617824,20.0,2.305084705352783,1.9369688034057613,0.4000423638138309,0.9878035166039616,10.0,2.474301338195801,1.8611295223236084,0.71041341463869,0.9777154797615488
wine-quality,6497.0,11.0,0.000571736,4.0,50.0,9.50329327583313,1.964865684509277,0.9811117811080224,0.995074392126824,32.0,2.4074594974517822,1.8594701290130613,0.94717614080192,0.9922943802281444,20.0,2.5040547847747803,1.866581678390503,0.4000423638138309,0.9878149098357702,10.0,2.6244657039642334,2.01168179512024,0.71041341463869,0.9777257682875312
