Name,N_sample,Dim,Size (GB),id,mpts_Iter-0,Time_Iter-0_coresg,Time_Iter-0_hdbscan,ARI_Iter-0,HAI_Iter-0,mpts_Iter-1,Time_Iter-1_coresg,Time_Iter-1_hdbscan,ARI_Iter-1,HAI_Iter-1,mpts_Iter-2,Time_Iter-2_coresg,Time_Iter-2_hdbscan,ARI_Iter-2,HAI_Iter-2,mpts_Iter-3,Time_Iter-3_coresg,Time_Iter-3_hdbscan,ARI_Iter-3,HAI_Iter-3
gaussian-7-Overlap,5000.0,50.0,0.002,1.0,50.0,12.828523635864258,1.4073834419250488,1.0,0.7747109138330095,32.0,3.660763740539551,1.1758129596710205,1.0,0.7746459397843413,20.0,3.933197259902954,1.2081141471862793,1.0,0.7745555057360375,10.0,3.9183192253112793,1.1990315914154053,1.0,0.7743178604234795
gaussian-7-Overlap,5000.0,50.0,0.002,2.0,50.0,13.022636651992798,1.2202873229980469,1.0,0.9998615555840012,32.0,3.637300491333008,1.2141730785369873,1.0,0.9998082367360012,20.0,3.685615062713623,1.1938705444335938,1.0,0.9997135078400016,10.0,3.9143972396850586,1.250817060470581,1.0,0.9994659894079988
gaussian-7-Overlap,5000.0,50.0,0.002,3.0,50.0,12.51231575012207,1.2114529609680176,1.0,0.7757633504924994,32.0,3.453514575958252,1.098008155822754,1.0,0.7757031103001877,20.0,3.4534366130828857,1.1548759937286377,1.0,0.77561532837974,10.0,3.699784994125366,1.1447784900665283,1.0,0.7753730444435607
gaussian-7-Overlap,5000.0,50.0,0.002,4.0,50.0,12.683120012283323,1.1746952533721924,1.0,0.7686691994277852,32.0,3.624382972717285,1.1659018993377686,1.0,0.7686102550750872,20.0,3.4856927394866943,1.1519184112548828,1.0,0.7685188275227857,10.0,3.448185443878174,1.1672639846801758,1.0,0.7682776219545773
gaussian-7-Overlap,5000.0,50.0,0.002,5.0,50.0,12.226053714752195,1.1918699741363523,1.0,0.8529022723848425,32.0,3.770032167434693,1.1884973049163818,1.0,0.8528450410567675,20.0,3.469608783721924,1.1541376113891602,1.0,0.852753377120433,10.0,3.440241813659668,1.1784780025482178,1.0,0.8524891902402054
gaussian-7-Overlap,5000.0,50.0,0.002,6.0,50.0,13.37683629989624,1.1741580963134766,1.0,0.918877347721893,32.0,3.688467025756836,1.240372896194458,1.0,0.9188251253541224,20.0,3.951073169708252,1.195265531539917,1.0,0.9187211810344448,10.0,3.737362146377564,1.189035177230835,1.0,0.9184945221227828
gaussian-7-Overlap,5000.0,50.0,0.002,7.0,50.0,13.47839069366455,1.2097814083099363,1.0,0.9478681065948174,32.0,3.6567773818969727,1.1558756828308103,1.0,0.9478014538910476,20.0,3.515273094177246,1.1870355606079102,1.0,0.9477128551391834,10.0,3.691663026809693,1.1805996894836426,1.0,0.9474831735394748
gaussian-7-Overlap,5000.0,50.0,0.002,8.0,50.0,12.719318389892578,1.173387050628662,1.0,0.9718671517445128,32.0,3.669537305831909,1.1743578910827637,1.0,0.9718100689606468,20.0,3.676743745803833,1.2630248069763184,1.0,0.9717216716166728,10.0,3.8972344398498535,1.1826152801513672,1.0,0.9714882842247792
gaussian-7-Overlap,5000.0,50.0,0.002,9.0,50.0,12.904943704605104,1.297111749649048,1.0,0.9758670468477452,32.0,3.42488169670105,1.2156829833984375,1.0,0.9758079923198212,20.0,3.657569885253906,1.2015364170074463,1.0,0.9757246932798732,10.0,3.7100796699523926,1.1810879707336426,1.0,0.9754678403519548
gaussian-7-Overlap,5000.0,50.0,0.002,10.0,50.0,12.128676176071169,1.3261566162109375,1.0,0.826883911104339,32.0,3.67341423034668,1.1792104244232178,1.0,0.8268276104638239,20.0,3.705486297607422,1.1675083637237549,1.0,0.8267355723513059,10.0,3.664585590362549,1.1716513633728027,1.0,0.8265132656947912
gaussian-7-Overlap,10000.0,50.0,0.004,1.0,50.0,26.050769567489624,4.447730541229248,1.0,0.9558777683409976,32.0,8.418051719665527,4.135545253753662,1.0,0.9558278315287368,20.0,8.727943420410156,4.229586362838745,1.0,0.9557408908324544,10.0,8.65739130973816,4.21324896812439,1.0,0.9555044847761373
gaussian-7-Overlap,10000.0,50.0,0.004,2.0,50.0,23.871081829071045,4.120561122894287,1.0,0.9058495248395836,32.0,7.956837892532349,4.2058069705963135,1.0,0.9057991470153408,20.0,7.956824064254761,4.059303045272827,1.0,0.9057114965269016,10.0,8.033089399337769,4.339124202728272,1.0,0.9054626617184552
gaussian-7-Overlap,10000.0,50.0,0.004,3.0,50.0,23.05192613601685,4.3680830001831055,1.0,0.7667582653996148,32.0,7.610483646392822,4.367184400558472,1.0,0.7667096010902901,20.0,7.957514762878418,4.14166259765625,1.0,0.7666120718454,10.0,7.916998863220215,4.469137907028198,1.0,0.7664043484375539
gaussian-7-Overlap,10000.0,50.0,0.004,4.0,50.0,25.42161512374878,4.247743129730225,1.0,0.7547519372265599,32.0,8.215835332870483,4.0358803272247314,1.0,0.7546997912336175,20.0,8.347472190856934,4.103434085845947,1.0,0.754609477822807,10.0,8.242184400558472,4.303781509399414,1.0,0.7543899389500247
gaussian-7-Overlap,10000.0,50.0,0.004,5.0,50.0,24.02930951118469,4.124187469482422,1.0,0.8344965369708872,32.0,8.025315046310425,4.091721057891846,1.0,0.8344477910023836,20.0,8.151937484741211,3.9431097507476807,1.0,0.8343587183784051,10.0,8.199005126953125,4.0721962451934814,1.0,0.8341422207944443
