Name,N_sample,Dim,Size (GB),id,mpts_Iter-0,Time_Iter-0_coresg,Time_Iter-0_hdbscan,ARI_Iter-0,mpts_Iter-1,Time_Iter-1_coresg,Time_Iter-1_hdbscan,ARI_Iter-1,mpts_Iter-2,Time_Iter-2_coresg,Time_Iter-2_hdbscan,ARI_Iter-2,mpts_Iter-3,Time_Iter-3_coresg,Time_Iter-3_hdbscan,ARI_Iter-3
default-credit-card,30000.0,23.0,0.00552,1.0,50.0,57.72456765174866,119.98791742324828,0.9864785455306778,32.0,83.8579638004303,41.06984901428223,0.9800326503187408,20.0,17.17789363861084,35.043665647506714,0.9776863174479886,10.0,17.873564958572388,33.06765961647034,0.9595938177362688
default-credit-card,30000.0,23.0,0.00552,2.0,50.0,54.3988561630249,35.08966302871704,0.9864785455306778,32.0,17.65395712852478,35.67386102676392,0.979935191615564,20.0,18.418270349502563,35.36504864692688,0.9776863174479886,10.0,18.421485424041748,35.370994567871094,0.9564790876849528
default-credit-card,30000.0,23.0,0.00552,3.0,50.0,57.06919074058533,33.74560570716858,0.9864785455306778,32.0,17.49077081680298,34.86720013618469,0.9800326503187408,20.0,17.280787706375122,35.30833458900452,0.9776863174479886,10.0,18.92925238609314,35.54411339759827,0.9564809997587084
default-credit-card,30000.0,23.0,0.00552,4.0,50.0,53.791752338409424,34.84452772140503,0.9864785455306778,32.0,17.322893381118774,35.28150296211243,0.9800326503187408,20.0,17.836774349212646,36.404510736465454,0.9776863174479886,10.0,19.06910872459412,36.30326986312866,0.9575276275753464
default-credit-card,30000.0,23.0,0.00552,5.0,50.0,50.97084951400757,32.48688840866089,0.9864785455306778,32.0,14.698931694030762,32.30322909355164,0.9800326503187408,20.0,15.217636346817017,32.75653338432312,0.9776863174479886,10.0,16.599438905715942,31.67521333694458,0.9554317646854918
default-credit-card,30000.0,23.0,0.00552,6.0,50.0,50.87955188751221,32.22414422035217,0.9864785455306778,32.0,16.353699445724487,32.7374210357666,0.9800326503187408,20.0,17.177572011947632,34.655113220214844,0.9776863174479886,10.0,19.127784967422485,34.528502464294434,0.9595938177362688
default-credit-card,30000.0,23.0,0.00552,7.0,50.0,55.36737656593323,35.28643846511841,0.9864785455306778,32.0,17.038164615631104,34.597530126571655,0.9800326503187408,20.0,19.831814765930176,34.69019913673401,0.9776863174479886,10.0,19.73785161972046,38.96421265602112,0.9573934092709178
default-credit-card,30000.0,23.0,0.00552,8.0,50.0,55.07752346992493,35.02938532829285,0.9864785455306778,32.0,17.770639181137085,36.50057744979858,0.979935191615564,20.0,17.757052421569824,36.11173629760742,0.9776863174479886,10.0,19.662312507629395,33.583303689956665,0.95737237653039
default-credit-card,30000.0,23.0,0.00552,9.0,50.0,48.22402739524841,35.15049171447754,0.9864785455306778,32.0,14.77611207962036,34.00830936431885,0.9800326503187408,20.0,15.40249514579773,35.37041902542114,0.9776863174479886,10.0,17.771299362182617,36.00977563858032,0.957637443544868
default-credit-card,30000.0,23.0,0.00552,10.0,50.0,48.371591091156006,33.07048559188843,0.9864785455306778,32.0,14.916509866714478,32.627328395843506,0.9800326503187408,20.0,15.570332527160645,34.23292303085327,0.9776863174479886,10.0,16.311929941177368,32.758687257766724,0.9585476661343434
air,9357.0,13.0,0.000973128,1.0,50.0,13.655516624450684,3.830871105194092,1.0,32.0,3.711451292037964,3.787833452224731,1.0,20.0,4.144846677780151,3.830286979675293,0.9960353516327518,10.0,4.8686840534210205,4.027553558349609,0.9996990030513976
air,9357.0,13.0,0.000973128,2.0,50.0,14.355350255966188,3.822931051254273,1.0,32.0,3.7376279830932617,3.6821131706237793,1.0,20.0,3.796399354934693,3.8455097675323486,0.9995303559272282,10.0,4.002801179885864,3.876496553421021,0.9996990030513976
air,9357.0,13.0,0.000973128,3.0,50.0,14.061758279800417,3.676104784011841,1.0,32.0,3.6672322750091553,3.7396419048309326,1.0,20.0,3.990299940109253,3.808096647262573,0.9960353516327518,10.0,3.960583448410034,3.602719306945801,0.9996990030513976
air,9357.0,13.0,0.000973128,4.0,50.0,14.022812604904177,3.7542333602905273,1.0,32.0,3.71524977684021,3.581137418746948,1.0,20.0,4.485269546508789,3.830655574798584,0.9960353516327518,10.0,3.991400957107544,3.887850999832153,0.9996990030513976
air,9357.0,13.0,0.000973128,5.0,50.0,14.19129204750061,3.652032613754273,1.0,32.0,3.81917667388916,3.7151784896850586,1.0,20.0,3.951642274856568,3.651543617248535,0.9960353516327518,10.0,4.022308588027954,3.606549263000488,0.9996990030513976
air,9357.0,13.0,0.000973128,6.0,50.0,13.88856840133667,3.871255159378052,1.0,32.0,3.7304940223693848,3.909212589263916,1.0,20.0,3.725811719894409,3.9285266399383545,0.9995303559272282,10.0,3.93013858795166,3.765676975250244,0.9996990030513976
air,9357.0,13.0,0.000973128,7.0,50.0,15.308393001556396,3.8716139793396,1.0,32.0,4.8186354637146,3.844185113906861,1.0,20.0,4.4807844161987305,3.9276821613311768,0.9995303559272282,10.0,4.799198150634766,4.351003646850586,0.9996990030513976
air,9357.0,13.0,0.000973128,8.0,50.0,16.731898546218872,3.996361494064331,1.0,32.0,4.452481269836426,3.911019086837769,1.0,20.0,5.01771879196167,3.944520711898804,0.9995303559272282,10.0,4.681716203689575,4.275567293167114,0.9996990030513976
air,9357.0,13.0,0.000973128,9.0,50.0,15.655097007751465,3.991055965423584,1.0,32.0,4.363626956939697,4.020708799362183,1.0,20.0,4.5726704597473145,3.9553029537200928,0.9960353516327518,10.0,4.8201305866241455,3.742504358291626,0.9996990030513976
air,9357.0,13.0,0.000973128,10.0,50.0,15.681490421295166,3.915264129638672,1.0,32.0,4.338798999786377,3.772514343261719,1.0,20.0,4.906150579452515,3.912744522094727,0.9995303559272282,10.0,4.708445072174072,3.965378761291504,0.9996990030513976
wine-quality,6497.0,11.0,0.000571736,1.0,50.0,11.368971824645996,2.029006242752075,0.9811117811080224,32.0,2.332746982574463,1.8443076610565183,0.94717614080192,20.0,2.944998979568481,2.0088982582092285,0.4000423638138309,10.0,2.829376220703125,1.9298765659332275,0.71041341463869
wine-quality,6497.0,11.0,0.000571736,2.0,50.0,10.201988697052002,1.9695138931274407,0.9811117811080224,32.0,2.650545358657837,1.888434171676636,0.94717614080192,20.0,3.280876874923706,1.95845913887024,0.4000423638138309,10.0,2.87328839302063,1.994240999221801,0.5472463074324183
wine-quality,6497.0,11.0,0.000571736,3.0,50.0,10.282605171203612,1.899926900863648,0.9811117811080224,32.0,2.347810745239258,1.8407671451568604,0.94717614080192,20.0,2.719665288925171,2.178955316543579,0.4000423638138309,10.0,3.120516538619995,1.9069457054138184,0.71041341463869
wine-quality,6497.0,11.0,0.000571736,4.0,50.0,10.149555206298828,1.8207128047943115,0.9811117811080224,32.0,2.4630556106567383,1.865147829055786,0.94717614080192,20.0,2.6546573638916016,1.924016714096069,0.4000423638138309,10.0,2.616406440734864,1.92474365234375,0.71041341463869
wine-quality,6497.0,11.0,0.000571736,5.0,50.0,10.01321291923523,1.8781330585479736,0.9811117811080224,32.0,2.247932910919189,2.000122308731079,0.94717614080192,20.0,2.6145503520965576,1.8676564693450928,0.4000423638138309,10.0,2.8345589637756348,2.049861192703247,0.5472463074324183
wine-quality,6497.0,11.0,0.000571736,6.0,50.0,10.236117601394652,1.8064918518066408,0.9811117811080224,32.0,2.3932602405548096,1.828596115112305,0.94717614080192,20.0,2.511148691177368,1.8557062149047847,0.4000423638138309,10.0,2.812618970870972,2.237932682037353,0.71041341463869
wine-quality,6497.0,11.0,0.000571736,7.0,50.0,10.80396604537964,1.823396921157837,0.9811117811080224,32.0,2.4524624347686768,1.7938613891601562,0.94717614080192,20.0,2.553436756134033,1.87551498413086,0.4000423638138309,10.0,2.82171630859375,1.9089109897613523,0.5472463074324183
wine-quality,6497.0,11.0,0.000571736,8.0,50.0,9.992635250091553,1.8507604598999023,0.9811117811080224,32.0,2.2403485774993896,1.8413152694702148,0.94717614080192,20.0,3.011981725692749,1.8013808727264404,0.4000423638138309,10.0,2.6371665000915527,1.882866382598877,0.5472463074324183
wine-quality,6497.0,11.0,0.000571736,9.0,50.0,10.343615531921388,1.826197624206543,0.9811117811080224,32.0,2.14908766746521,1.7937054634094238,0.94717614080192,20.0,2.464652299880981,1.8466060161590576,0.4000423638138309,10.0,2.836357593536377,2.020004987716675,0.5472463074324183
wine-quality,6497.0,11.0,0.000571736,10.0,50.0,10.140346765518188,2.321638822555542,0.9811117811080224,32.0,2.7394466400146484,1.8553812503814693,0.94717614080192,20.0,2.6353909969329834,1.9093191623687744,0.4000423638138309,10.0,2.916196346282959,2.006150722503662,0.71041341463869
bank,6819.0,95.0,0.00518244,1.0,50.0,12.073898792266846,2.1051394939422607,0.9784671671843728,32.0,3.064995765686035,2.0099310874938965,0.9699631667041916,20.0,3.0564382076263428,2.0163257122039795,0.96023821435624,10.0,3.097553253173828,2.0545270442962646,0.897428447415483
bank,6819.0,95.0,0.00518244,2.0,50.0,11.85375189781189,2.39900803565979,0.9784671671843728,32.0,2.6365301609039307,2.014421463012696,0.9699631667041916,20.0,2.936387300491333,2.073317050933838,0.96023821435624,10.0,3.4386754035949707,2.0628857612609863,0.897428447415483
bank,6819.0,95.0,0.00518244,3.0,50.0,12.394050121307371,2.087415933609009,0.9784671671843728,32.0,3.033649682998657,2.105699300765991,0.9699631667041916,20.0,3.126528024673462,2.071993589401245,0.96023821435624,10.0,3.295217752456665,2.145287036895752,0.897428447415483
bank,6819.0,95.0,0.00518244,4.0,50.0,12.144944190979004,2.1112797260284424,0.9784671671843728,32.0,3.010385751724243,2.1747617721557617,0.9699631667041916,20.0,3.0903778076171875,2.2638628482818604,0.96023821435624,10.0,3.291653871536255,2.428796768188477,0.897428447415483
bank,6819.0,95.0,0.00518244,5.0,50.0,11.9051775932312,2.060541868209839,0.9784671671843728,32.0,3.0240299701690674,2.046168327331543,0.9699631667041916,20.0,3.104256629943848,2.063041925430298,0.96023821435624,10.0,3.4979019165039062,2.17938232421875,0.897428447415483
bank,6819.0,95.0,0.00518244,6.0,50.0,11.657798290252686,2.1913065910339355,0.9784671671843728,32.0,2.995753049850464,2.0611438751220703,0.9699631667041916,20.0,3.2760934829711914,2.070371627807617,0.96023821435624,10.0,3.109959840774536,2.057553768157959,0.897428447415483
bank,6819.0,95.0,0.00518244,7.0,50.0,11.46277642250061,2.0274243354797363,0.9784671671843728,32.0,3.219865798950196,2.124228000640869,0.9699631667041916,20.0,3.12276577949524,2.20962142944336,0.96023821435624,10.0,3.2064170837402344,2.0724406242370605,0.9057168597561572
bank,6819.0,95.0,0.00518244,8.0,50.0,12.818134307861328,2.063810348510742,0.9784671671843728,32.0,3.358109474182129,2.07120132446289,0.9699631667041916,20.0,3.08926773071289,2.069179058074951,0.96023821435624,10.0,3.37820816040039,2.084080934524536,0.9057168597561572
bank,6819.0,95.0,0.00518244,9.0,50.0,11.267547130584717,2.063905000686645,0.9784671671843728,32.0,3.556814193725586,2.0154411792755127,0.9699631667041916,20.0,3.1366329193115234,2.006706953048706,0.96023821435624,10.0,3.273505449295044,1.9880728721618648,0.897428447415483
bank,6819.0,95.0,0.00518244,10.0,50.0,11.83962082862854,2.0963244438171387,0.9784671671843728,32.0,3.102621793746948,2.009565830230713,0.9699631667041916,20.0,3.121695041656494,2.032720804214477,0.96023821435624,10.0,3.183358907699585,2.0508062839508057,0.897428447415483
beans,13611.0,16.0,0.001742208,1.0,50.0,25.24333691596985,7.974484920501709,0.997817800948662,32.0,6.876766681671143,7.879570245742798,0.9964385305557965,20.0,7.434641599655151,7.656036376953125,0.9941322118805774,10.0,7.013441562652588,8.077332973480225,0.9847343722881914
beans,13611.0,16.0,0.001742208,2.0,50.0,20.291703462600708,8.273270845413208,0.997817800948662,32.0,6.371353626251221,7.874040126800537,0.9964385305557965,20.0,7.424395322799683,7.820256471633911,0.9941322118805774,10.0,6.5718488693237305,7.994128227233887,0.9847343722881914
beans,13611.0,16.0,0.001742208,3.0,50.0,22.00289249420166,7.697283744812012,0.997817800948662,32.0,6.95448112487793,7.66960334777832,0.9964385305557965,20.0,6.592007398605347,8.149003505706787,0.9941322118805774,10.0,7.019525527954102,7.439181566238403,0.9847343722881914
