Name,N_sample,Dim,Size (GB),id,mpts_Iter-0,Time_Iter-0_coresg,Time_Iter-0_hdbscan,ARI_Iter-0,TED_Iter-0,mpts_Iter-1,Time_Iter-1_coresg,Time_Iter-1_hdbscan,ARI_Iter-1,TED_Iter-1,mpts_Iter-2,Time_Iter-2_coresg,Time_Iter-2_hdbscan,ARI_Iter-2,TED_Iter-2,mpts_Iter-3,Time_Iter-3_coresg,Time_Iter-3_hdbscan,ARI_Iter-3,TED_Iter-3
gaussian-7-noOverlap,5000.0,10.0,0.0004,1.0,50.0,12.87878704071045,1.4148154258728027,1.0,164.0,32.0,3.300224542617798,1.433253288269043,1.0,140.0,20.0,3.587437391281128,1.4149038791656494,1.0,136.0,10.0,3.7228071689605713,1.4198393821716309,1.0,124.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,2.0,50.0,14.21078896522522,1.523017406463623,1.0,327.0,32.0,5.087388277053833,1.6012609004974363,1.0,367.0,20.0,4.092616558074951,1.5608127117156982,1.0,364.0,10.0,4.3337767124176025,1.533205509185791,1.0,364.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,3.0,50.0,12.647021293640137,1.4629404544830322,1.0,211.0,32.0,3.3801543712615967,1.4353797435760498,1.0,205.0,20.0,3.73649001121521,1.471017837524414,1.0,247.0,10.0,3.81041955947876,1.4513881206512451,1.0,223.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,4.0,50.0,12.611465215682983,1.4463777542114258,1.0,74.0,32.0,3.71624755859375,1.4502921104431152,1.0,76.0,20.0,3.83498215675354,1.4299581050872805,1.0,47.0,10.0,4.004707336425781,1.4325971603393557,1.0,69.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,5.0,50.0,13.102838039398192,1.4521870613098145,1.0,195.0,32.0,3.375159502029419,1.4181764125823977,1.0,181.0,20.0,3.690773248672485,1.41650390625,1.0,277.0,10.0,3.764560461044312,1.469505786895752,1.0,135.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,6.0,50.0,13.153053760528564,1.480978012084961,1.0,457.0,32.0,3.386785984039306,1.4133245944976809,1.0,278.0,20.0,3.763207674026489,1.3950088024139404,1.0,161.0,10.0,3.829487562179565,1.4034461975097656,1.0,134.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,7.0,50.0,12.342533111572266,1.4321579933166504,1.0,77.0,32.0,3.7100441455841056,1.4351081848144531,1.0,83.0,20.0,3.725407361984253,1.430176019668579,1.0,78.0,10.0,3.795409440994263,1.4304170608520508,1.0,87.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,8.0,50.0,12.528078079223633,1.4032299518585205,1.0,230.0,32.0,3.353748321533203,1.4235448837280271,1.0,222.0,20.0,3.690905570983887,1.4301702976226809,1.0,232.0,10.0,3.77755618095398,1.4049296379089355,1.0,172.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,9.0,50.0,12.526442050933838,1.383347988128662,1.0,404.0,32.0,3.3833298683166504,1.4253580570220947,1.0,245.0,20.0,3.774058103561402,1.4429473876953125,1.0,243.0,10.0,3.7758281230926514,1.3894281387329102,1.0,203.0
gaussian-7-noOverlap,5000.0,10.0,0.0004,10.0,50.0,12.568992614746094,1.4236571788787842,1.0,168.0,32.0,3.62187385559082,1.4108381271362305,1.0,104.0,20.0,3.6554787158966064,1.4092724323272705,1.0,118.0,10.0,3.720349550247192,1.4234569072723389,1.0,80.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,1.0,50.0,14.620958805084229,1.5396957397460938,0.6634831961242581,106.0,32.0,4.170993089675903,1.510608434677124,1.0,98.0,20.0,4.158396482467651,1.5133028030395508,1.0,102.0,10.0,4.249208688735962,1.5384652614593506,1.0,192.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,2.0,50.0,13.202012300491331,1.430788278579712,1.0,457.0,32.0,3.896023750305176,1.4363131523132324,1.0,260.0,20.0,3.8803560733795166,1.4478542804718018,1.0,490.0,10.0,4.233697175979614,1.4393315315246582,1.0,510.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,3.0,50.0,14.619215965270996,1.5026142597198486,1.0,344.0,32.0,4.1313252449035645,1.497560739517212,1.0,357.0,20.0,4.1716084480285645,1.5171406269073486,1.0,343.0,10.0,4.1753010749816895,1.4753639698028564,1.0,135.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,4.0,50.0,12.822166919708252,1.418497085571289,1.0,370.0,32.0,3.8779163360595694,1.428013801574707,1.0,380.0,20.0,3.933110237121582,1.42069411277771,1.0,426.0,10.0,3.990021228790283,1.42252779006958,1.0,240.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,5.0,50.0,12.914411783218384,1.4680547714233398,1.0,184.0,32.0,3.776722192764282,1.3868916034698486,1.0,153.0,20.0,3.809396982192993,1.4176015853881836,1.0,145.0,10.0,3.861268758773804,1.4168133735656738,1.0,164.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,6.0,50.0,15.061221361160278,1.59322190284729,1.0,125.0,32.0,4.19927453994751,1.510145902633667,1.0,435.0,20.0,3.78090500831604,1.5261270999908447,1.0,247.0,10.0,4.5320446491241455,1.738987684249878,1.0,413.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,7.0,50.0,13.498782634735107,1.4384617805480957,1.0,552.0,32.0,3.849526643753052,1.4245812892913818,1.0,487.0,20.0,3.912778377532959,1.425467014312744,1.0,344.0,10.0,3.93906044960022,1.4023406505584717,1.0,261.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,8.0,50.0,13.087222337722778,1.462550401687622,1.0,568.0,32.0,3.551970958709717,1.4361913204193115,1.0,394.0,20.0,3.900457620620728,1.4484186172485352,1.0,648.0,10.0,3.946489572525024,1.4820146560668943,1.0,354.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,9.0,50.0,14.26802897453308,1.5415287017822266,1.0,177.0,32.0,4.128815174102783,1.5229167938232422,1.0,188.0,20.0,4.150204658508301,1.5480449199676514,1.0,221.0,10.0,4.205570459365845,1.5621299743652344,1.0,229.0
gaussian-7-noOverlap,5000.0,20.0,0.0008,10.0,50.0,13.032404661178589,1.470583438873291,1.0,306.0,32.0,3.803574562072754,1.4589550495147705,1.0,280.0,20.0,3.9386990070343018,1.4123857021331787,1.0,334.0,10.0,4.214083909988403,1.4221653938293457,1.0,120.0
gaussian-7-noOverlap,5000.0,50.0,0.002,1.0,50.0,13.653965950012209,1.430516481399536,1.0,815.0,32.0,3.903463363647461,1.431351900100708,1.0,591.0,20.0,4.092341423034668,1.4656696319580078,1.0,254.0,10.0,4.015176057815552,1.4531800746917725,1.0,317.0
gaussian-7-noOverlap,5000.0,50.0,0.002,2.0,50.0,13.556159973144531,1.4125893115997314,1.0,337.0,32.0,3.90846848487854,1.4462080001831057,1.0,202.0,20.0,3.906230926513672,1.449460744857788,1.0,370.0,10.0,3.9635009765625,1.4269351959228516,1.0,209.0
gaussian-7-noOverlap,5000.0,50.0,0.002,3.0,50.0,13.943063735961914,1.4104225635528564,1.0,1115.0,32.0,4.104898452758789,1.4216182231903076,1.0,1036.0,20.0,4.064305543899536,1.421701431274414,1.0,702.0,10.0,4.327287673950195,1.4651708602905271,1.0,701.0
gaussian-7-noOverlap,5000.0,50.0,0.002,4.0,50.0,14.505782842636108,1.4798932075500488,1.0,1129.0,32.0,4.037631511688232,1.457019329071045,1.0,855.0,20.0,4.005682229995728,1.4458396434783936,1.0,572.0,10.0,4.0165441036224365,1.437781572341919,1.0,460.0
gaussian-7-noOverlap,5000.0,50.0,0.002,5.0,50.0,14.049641609191896,1.4381563663482666,1.0,110.0,32.0,3.9989285469055176,1.4626686573028564,1.0,144.0,20.0,4.269129037857056,1.4948723316192627,1.0,334.0,10.0,4.345262050628662,1.5016884803771973,1.0,181.0
gaussian-7-noOverlap,5000.0,50.0,0.002,6.0,50.0,13.729307413101196,1.5004677772521973,1.0,168.0,32.0,3.9714043140411377,1.4317080974578855,1.0,207.0,20.0,4.013570785522461,1.4092414379119873,1.0,148.0,10.0,4.095896005630493,1.4066100120544434,1.0,148.0
gaussian-7-noOverlap,5000.0,50.0,0.002,7.0,50.0,13.729084730148315,1.4534430503845217,1.0,250.0,32.0,3.997782230377197,1.4109983444213867,1.0,254.0,20.0,3.993992567062378,1.4045546054840088,1.0,120.0,10.0,4.0207507610321045,1.4162235260009766,1.0,314.0
gaussian-7-noOverlap,5000.0,50.0,0.002,8.0,50.0,15.605795860290527,1.5372097492218018,1.0,94.0,32.0,4.3840765953063965,1.551764965057373,1.0,91.0,20.0,4.6369829177856445,1.5180799961090088,1.0,105.0,10.0,4.331789493560791,1.5035669803619385,1.0,254.0
gaussian-7-noOverlap,5000.0,50.0,0.002,9.0,50.0,13.609838485717772,1.4165170192718506,1.0,388.0,32.0,3.870623826980591,1.4263267517089844,1.0,309.0,20.0,4.225393533706665,1.5185775756835938,1.0,215.0,10.0,4.531399726867676,1.463625431060791,1.0,224.0
gaussian-7-noOverlap,5000.0,50.0,0.002,10.0,50.0,13.652326345443726,1.440605640411377,1.0,144.0,32.0,4.14908504486084,1.4164390563964844,1.0,543.0,20.0,4.226503133773804,1.4646031856536863,1.0,393.0,10.0,4.077714681625366,1.393561601638794,1.0,343.0
gaussian-7-noOverlap,5000.0,100.0,0.004,1.0,50.0,13.74811625480652,1.467139720916748,1.0,352.0,32.0,4.002073526382446,1.4571244716644287,1.0,361.0,20.0,4.551431179046631,1.5597903728485107,1.0,269.0,10.0,4.335203409194946,1.5031499862670898,1.0,325.0
gaussian-7-noOverlap,5000.0,100.0,0.004,2.0,50.0,13.481876850128174,1.459664821624756,1.0,191.0,32.0,4.194568872451782,1.4053101539611816,1.0,192.0,20.0,4.05183744430542,1.4354140758514404,1.0,166.0,10.0,4.150679588317871,1.3683359622955322,1.0,274.0
gaussian-7-noOverlap,5000.0,100.0,0.004,3.0,50.0,13.196352005004885,1.4745445251464844,1.0,346.0,32.0,3.84654688835144,1.435861587524414,1.0,288.0,20.0,3.8498997688293457,1.4336979389190674,1.0,274.0,10.0,3.921099185943604,1.405811071395874,1.0,296.0
gaussian-7-noOverlap,5000.0,100.0,0.004,4.0,50.0,13.274811267852783,1.4465172290802002,1.0,330.0,32.0,3.828876495361328,1.4258568286895752,1.0,444.0,20.0,3.9258062839508057,1.388793706893921,1.0,457.0,10.0,3.874356746673584,1.4011051654815674,1.0,379.0
gaussian-7-noOverlap,5000.0,100.0,0.004,5.0,50.0,13.667874336242676,1.3839643001556396,1.0,1196.0,32.0,3.935106039047241,1.4419968128204346,1.0,860.0,20.0,3.991256475448608,1.402886152267456,1.0,600.0,10.0,4.285954475402832,1.4174566268920898,1.0,326.0
gaussian-7-noOverlap,5000.0,100.0,0.004,6.0,50.0,13.76256513595581,1.46946120262146,1.0,248.0,32.0,4.182335138320923,1.4727463722229004,1.0,262.0,20.0,4.102530956268311,1.426260471343994,1.0,172.0,10.0,3.885342597961426,1.4179134368896484,1.0,158.0
gaussian-7-noOverlap,5000.0,100.0,0.004,7.0,50.0,13.986490964889526,1.471393346786499,1.0,808.0,32.0,4.004092693328857,1.397592067718506,1.0,791.0,20.0,4.0282745361328125,1.4038424491882324,1.0,652.0,10.0,4.1282360553741455,1.4784502983093262,1.0,695.0
gaussian-7-noOverlap,5000.0,100.0,0.004,8.0,50.0,14.17056369781494,1.491319179534912,1.0,538.0,32.0,4.073119640350342,1.4120278358459473,1.0,522.0,20.0,4.292135238647461,1.422170877456665,1.0,404.0,10.0,4.062010049819946,1.4315097332000732,1.0,454.0
gaussian-7-noOverlap,5000.0,100.0,0.004,9.0,50.0,13.860317945480348,1.559765338897705,1.0,781.0,32.0,4.058365106582642,1.4970064163208008,1.0,828.0,20.0,4.0410027503967285,1.3880269527435305,1.0,376.0,10.0,4.4474196434021,1.4233677387237549,1.0,262.0
