Name,N_sample,Dim,Size (GB),id,mpts_Iter-0,Time_Iter-0_coresg,Time_Iter-0_hdbscan,ARI_Iter-0,HAI_Iter-0,mpts_Iter-1,Time_Iter-1_coresg,Time_Iter-1_hdbscan,ARI_Iter-1,HAI_Iter-1,mpts_Iter-2,Time_Iter-2_coresg,Time_Iter-2_hdbscan,ARI_Iter-2,HAI_Iter-2,mpts_Iter-3,Time_Iter-3_coresg,Time_Iter-3_hdbscan,ARI_Iter-3,HAI_Iter-3
gaussian-5-noOverlap,5000.0,10.0,0.0004,1.0,50.0,12.81344723701477,1.3651092052459717,1.0,0.9304738300142482,32.0,3.640790462493897,1.2507836818695068,1.0,0.9303958656944298,20.0,3.7382924556732178,1.2838504314422607,1.0,0.9302741626867864,10.0,4.170491218566895,1.2900056838989258,1.0,0.9299705099190868
gaussian-5-noOverlap,5000.0,10.0,0.0004,2.0,50.0,12.74170446395874,1.2872624397277832,1.0,0.9998269196800016,32.0,3.709918260574341,1.3588104248046875,1.0,0.999748204480002,20.0,3.7567198276519775,1.2714450359344482,1.0,0.9996336852160008,10.0,3.899224996566773,1.2842776775360107,1.0,0.9993027503999976
gaussian-5-noOverlap,5000.0,10.0,0.0004,3.0,50.0,12.674873113632202,1.267491579055786,1.0,0.7869957922284185,32.0,3.693697214126587,1.292299747467041,1.0,0.7869065374113317,20.0,3.740356206893921,1.264697551727295,1.0,0.7867823241630778,10.0,3.801836252212525,1.2950055599212646,1.0,0.7864665752024249
gaussian-5-noOverlap,5000.0,10.0,0.0004,4.0,50.0,13.361713409423828,1.3430078029632568,1.0,0.999818642464002,32.0,3.701031446456909,1.3329510688781738,1.0,0.9997535061440022,20.0,3.906651020050049,1.2852320671081543,1.0,0.9996387743680012,10.0,3.989882469177246,1.3034675121307373,1.0,0.9993077396479976
gaussian-5-noOverlap,5000.0,10.0,0.0004,5.0,50.0,12.820669889450071,1.3709087371826172,1.0,0.7781208248862704,32.0,3.687103748321533,1.2338080406188965,1.0,0.7780452742615075,20.0,3.773498296737671,1.3182311058044434,1.0,0.7779168746451156,10.0,4.136502027511597,1.356532335281372,1.0,0.7775701026446403
gaussian-5-noOverlap,5000.0,10.0,0.0004,6.0,50.0,13.111494779586792,1.455946922302246,1.0,0.9247433311669222,32.0,3.683528184890747,1.292811632156372,1.0,0.9246805512952658,20.0,4.013870716094971,1.2965357303619385,1.0,0.924576421887487,10.0,3.973317623138428,1.33748459815979,1.0,0.9242367969279608
gaussian-5-noOverlap,5000.0,10.0,0.0004,7.0,50.0,13.040384531021118,1.2622931003570557,1.0,0.901976232599457,32.0,3.724133968353272,1.3208701610565186,1.0,0.9018979089835074,20.0,3.692483425140381,1.2803938388824463,1.0,0.9017741976876334,10.0,3.947654485702514,1.3304457664489746,1.0,0.9014688042156324
gaussian-5-noOverlap,5000.0,10.0,0.0004,8.0,50.0,13.317981243133543,1.2307217121124268,0.6895417538857984,0.9997314817920128,32.0,3.7914323806762695,1.262704849243164,0.6895417538857984,0.9996559185920112,20.0,3.724035501480103,1.2741405963897705,0.999700461621069,0.9995942675519952,10.0,3.937822580337525,1.2559819221496582,1.0,0.9993091397759972
gaussian-5-noOverlap,5000.0,10.0,0.0004,9.0,50.0,12.80107831954956,1.2485454082489014,1.0,0.999822911616002,32.0,3.68784761428833,1.2958269119262695,1.0,0.999748524000002,20.0,3.7395999431610094,1.3508217334747314,1.0,0.9996320221120004,10.0,3.9510498046875,1.2867813110351562,1.0,0.999325871615998
gaussian-5-noOverlap,5000.0,10.0,0.0004,10.0,50.0,12.624668598175049,1.3083362579345703,1.0,0.7931417810607718,32.0,3.641911268234253,1.3062646389007568,1.0,0.79307488006811,20.0,3.713038206100464,1.2978830337524414,1.0,0.7929340169316165,10.0,3.942269086837769,1.2216644287109375,1.0,0.7926483429476492
gaussian-5-noOverlap,10000.0,10.0,0.0008,1.0,50.0,25.02755045890808,4.6113104820251465,1.0,0.8569529315908143,32.0,8.193485260009766,4.537345886230469,1.0,0.8626885111555918,20.0,8.241499662399292,4.501654624938965,1.0,0.86708279072677,10.0,8.425695180892944,4.318425178527832,1.0,0.8692818141804406
gaussian-5-noOverlap,10000.0,10.0,0.0008,2.0,50.0,26.03498125076294,4.508182048797607,1.0,0.999845255263996,32.0,8.100562334060669,4.537154912948608,1.0,0.9997801833560014,20.0,8.238810539245605,4.287541389465332,1.0,0.9996644356400042,10.0,8.316417694091797,4.304064989089966,1.0,0.9993406901000071
gaussian-5-noOverlap,10000.0,10.0,0.0008,3.0,50.0,24.61374258995056,4.466360807418823,1.0,0.9165144881750752,32.0,8.104187965393066,4.339690923690796,1.0,0.9164465980545802,20.0,8.229712724685669,4.401727676391602,1.0,0.916334612302915,10.0,8.253700971603394,4.5188727378845215,1.0,0.9160422804738568
gaussian-5-noOverlap,10000.0,10.0,0.0008,4.0,50.0,24.829805612564087,4.545356512069702,1.0,0.9026037821836006,32.0,8.156356811523438,4.427339792251587,1.0,0.9025338507588634,20.0,8.271975994110107,4.378652811050415,1.0,0.9024106490224436,10.0,8.390717267990112,4.418570756912232,1.0,0.9021071711024996
